Company,Website,Careers_URL,Country,City,Sector,Subsector,Company_Stage,Company_Scale,Employer_Category,Remote,Visa_Sponsorship,EOR,Hiring_Geography,Target_Roles,Tech_Stack,Region_Eligibility,Portfolio_Theme_Match,Language_Requirement,Hiring_Confidence,Reason_Match,Source,Cold_Outreach_Candidate,Visa_Sponsor_Register
Sweep,https://www.sweep.net,https://www.sweep.net/careers,France,Paris,ClimateTech,Supply Chain Carbon Intelligence,Scaleup,51-200,ClimateTech,Hybrid,Yes,Unknown,EU,"Data Engineer / AI Engineer","Python, dbt, GCP, data pipelines, REST APIs",EU,aequitas,Unknown,High,"Paris ClimateTech scaleup building carbon tracking across supply chains; dbt and GCP data pipeline work aligns with candidate's technical portfolio.",AI Research Batch 003,Yes,Unknown
Climatiq,https://www.climatiq.io,https://www.climatiq.io/careers,Germany,Berlin,ClimateTech,Emissions Calculation API,Startup,11-50,ClimateTech,Remote,Yes,Unknown,EU,"Data Engineer / Backend Engineer","Python, FastAPI, REST APIs, data pipelines, GCP",EU,aequitas,German (Learning),High,"Berlin API-first emissions calculation platform; FastAPI and Python stack is identical to candidate's backend portfolio.",AI Research Batch 003,Yes,Unknown
Sinergise,https://www.sinergise.com,https://www.sinergise.com/careers,Slovenia,Ljubljana,Geospatial,Satellite Earth Observation Platform,Scaleup,51-200,Geospatial / EO,Remote,Yes,Unknown,EU,"Data Engineer / Geospatial Analyst","Python, GDAL, Sentinel Hub, PostGIS, GCP, cloud-native GIS",EU,aequitas,None,High,"Creators of Sentinel Hub EO platform used by ESA; PostGIS and geospatial Python stack directly maps to aequitas spatial analysis components.",AI Research Batch 003,Yes,Unknown
CARTO,https://carto.com,https://carto.com/careers,Spain,Madrid (EU-wide remote),Geospatial,Spatial Analytics Platform,Scaleup,201-500,Geospatial,Remote,Yes,Unknown,EU,"Data Engineer / Geospatial Analyst","PostGIS, Python, BigQuery, spatial SQL, dbt, GCP",EU,aequitas,None,High,"Leading spatial analytics cloud platform; PostGIS, BigQuery and dbt stack is a direct match to aequitas geospatial data pipeline architecture.",AI Research Batch 003,Yes,Unknown
what3words,https://what3words.com,https://what3words.com/careers,UK,London,Geospatial,Location Encoding Platform,Scaleup,51-200,Geospatial,Hybrid,Yes,Unknown,EU,"Data Engineer / Backend Engineer","Python, FastAPI, PostGIS, geospatial APIs, GCP",EU,aequitas,None,High,"Global geocoding platform with EU logistics clients; FastAPI microservices and geospatial API work matches candidate's backend and GIS stack.",AI Research Batch 003,Yes,Unknown
Mapbox (EU),https://www.mapbox.com,https://www.mapbox.com/careers,USA,Berlin (EU engineering hub),Geospatial,Maps & Location Intelligence,Scaleup,501-1000,Geospatial,Hybrid,Yes,Unknown,EU,"Data Engineer / Geospatial Analyst","Python, PostGIS, vector tiles, geospatial data pipelines, Spark",EU,aequitas,German (Learning),High,"Mapbox Berlin engineering hub works on geospatial data pipelines and transit layers; PostGIS, Python and Spark experience maps directly.",AI Research Batch 003,Yes,Unknown
Shippeo,https://www.shippeo.com,https://www.shippeo.com/careers,France,Paris,Supply Chain Tech,Real-Time Transport Visibility,Scaleup,201-500,Logistics Tech,Hybrid,Yes,Unknown,EU,"Data Engineer / AI Engineer","Python, dbt, Kafka, GCP, REST APIs, geospatial data",EU,aequitas,Unknown,High,"Paris-based multimodal freight visibility platform using geospatial tracking; dbt and GCP data engineering stack matches candidate profile.",AI Research Batch 003,Yes,Unknown
Wakeo,https://www.wakeo.co,https://www.wakeo.co/careers,France,Paris,Supply Chain Tech,Multimodal Freight Intelligence,Startup,11-50,Logistics Tech,Hybrid,Yes,Unknown,EU,"Data Engineer / AI Engineer","Python, FastAPI, GCP, dbt, data pipelines",EU,aequitas,Unknown,High,"Paris freight data intelligence startup aggregating carrier APIs and geospatial tracking; FastAPI and GCP stack matches candidate exactly.",AI Research Batch 003,Yes,Unknown
Transporeon,https://www.transporeon.com,https://www.transporeon.com/careers,Germany,Ulm,Supply Chain Tech,Transport Management Platform,Scaleup,501-1000,Logistics Tech,Hybrid,Yes,Unknown,EU,"Data Engineer / AI Engineer","Python, Java, Kafka, PostgreSQL, cloud data platforms",EU,aequitas,German (Learning),High,"German transport management SaaS (Trimble-acquired but still EU-HQ engineering team); logistics data engineering and Java/Python backend matches candidate.",AI Research Batch 003,Yes,Unknown
project44 (EU),https://www.project44.com,https://www.project44.com/careers,USA,Amsterdam (EU hub),Supply Chain Tech,Global Supply Chain Visibility,Scaleup,501-1000,Logistics Tech,Hybrid,Yes,Unknown,EU,"Data Engineer / AI Engineer","Python, Kafka, Spark, dbt, GCP, geospatial APIs",EU,aequitas,Dutch (Learning),High,"Chicago-born supply chain visibility platform with major Amsterdam engineering office; Spark and dbt data engineering stack directly matches.",AI Research Batch 003,Yes,Unknown
Living Map,https://www.livingmap.com,https://www.livingmap.com/careers,UK,Bath,Smart Cities,Indoor & Transit Mapping Platform,Startup,11-50,Smart Cities,Hybrid,Unknown,Unknown,UK,"Data Engineer / Geospatial Analyst","Python, PostGIS, GeoJSON, REST APIs, GTFS",EU,aequitas,None,High,"UK smart mapping platform for airports, transit and campuses; PostGIS and GTFS indoor/outdoor maps directly aligns with aequitas geospatial work.",AI Research Batch 003,Yes,Unknown
Bliq,https://www.bliq.app,https://www.bliq.app/careers,Germany,Berlin,Smart Cities,Ride-Hailing Data Intelligence,Startup,11-50,Transport Tech,Hybrid,Yes,Unknown,EU,"Data Engineer / AI Engineer","Python, FastAPI, GCP, REST APIs, geospatial data",EU,aequitas,German (Learning),High,"Berlin startup building data intelligence for ride-hailing drivers and fleet operators; Python and FastAPI backend matches candidate's stack.",AI Research Batch 003,Yes,Unknown
Modeshift,https://www.modeshift.co.uk,https://www.modeshift.co.uk/contact,UK,Sheffield,Transport Analytics,Active Travel & School Transport Data,Startup,11-50,Transport Tech,Hybrid,Unknown,Unknown,UK,"Data Engineer / Geospatial Analyst","Python, GTFS, GIS, REST APIs, mapping",EU,aequitas,None,High,"UK DfT-partnered platform tracking active travel and school transport with GTFS-based mapping; aequitas equity analytics and GTFS work is a near-perfect match.",AI Research Batch 003,Yes,Unknown
IBI Group (Arcadis),https://www.ibigroup.com,https://www.ibigroup.com/careers,Canada,London (UK office),Transport Analytics,Transport Planning Consultancy,Scaleup,1001-5000,Consultancy,Hybrid,Yes,Unknown,EU,"Data Engineer / Geospatial Analyst","Python, GTFS, PostGIS, GIS, transport modelling",EU,aequitas,None,High,"Global transport planning consultancy with large London office delivering DfT projects; GTFS, geospatial Python and equity analytics from aequitas maps directly.",AI Research Batch 003,Yes,Unknown
Mott MacDonald (Transport),https://www.mottmac.com,https://www.mottmac.com/careers,UK,Croydon,Transport Analytics,Transport Infrastructure Consulting,Scaleup,1001-5000,Consultancy,Hybrid,Yes,Unknown,EU,"Data Engineer / Geospatial Analyst","Python, GIS, PostGIS, data modelling, GTFS",EU,aequitas,None,Medium,"Global engineering and transport planning consultancy with DfT delivery contracts; geospatial and transport analytics skills from aequitas are highly relevant.",AI Research Batch 003,No,Unknown
WSP (UK Transport),https://www.wsp.com,https://www.wsp.com/en-GB/careers,UK,London,Transport Analytics,Transport Planning & Data,Scaleup,1001-5000,Consultancy,Hybrid,Yes,Unknown,EU,"Data Engineer / Geospatial Analyst","Python, GIS, PostGIS, GTFS, transport analytics",EU,aequitas,None,Medium,"Major transport planning consultancy with DfT framework contracts; aequitas portfolio demonstrates directly relevant transport data analytics.",AI Research Batch 003,No,Unknown
Jacobs (Transport),https://www.jacobs.com,https://jacobs.com/careers,USA,Edinburgh (UK/EU offices),Transport Analytics,Smart Transport & Infrastructure Data,Scaleup,1001-5000,Consultancy,Hybrid,Yes,Unknown,EU,"Data Engineer / Geospatial Analyst","Python, GIS, IoT, cloud data platforms, GTFS",EU,aequitas,None,Medium,"Global engineering firm with large Edinburgh and Manchester transport analytics practice; DfT and HS2 data contracts suit aequitas background.",AI Research Batch 003,No,Unknown
Cityzenith,https://www.cityzenith.com,https://www.cityzenith.com/careers,UK,London,Smart Cities,Digital Twin Urban Platform,Startup,11-50,Smart Cities,Remote,Yes,Unknown,EU,"Data Engineer / AI Engineer","Python, GIS, 3D city data, REST APIs, cloud",EU,aequitas,None,Medium,"Smart city digital twin platform aggregating urban mobility, energy and infrastructure data; geospatial data engineering from aequitas maps to city modelling work.",AI Research Batch 003,Yes,Unknown
Urban SDK,https://www.urbansdk.com,https://www.urbansdk.com/careers,USA,Jacksonville (EU remote),Smart Cities,Urban Traffic & Mobility Analytics,Startup,11-50,Smart Cities,Remote,Yes,Unknown,EU,"Data Engineer / Geospatial Analyst","Python, PostGIS, REST APIs, GIS, geospatial analytics",EU,aequitas,None,Medium,"Urban mobility analytics platform for traffic and transport agencies; PostGIS and geospatial analytics stack matches aequitas exactly.",AI Research Batch 003,Yes,Unknown
Hivemapper,https://hivemapper.com,https://hivemapper.com/careers,USA,San Francisco (EU operations),Geospatial,Decentralised Street-Level Mapping,Startup,51-200,Geospatial,Remote,Yes,Unknown,EU,"Data Engineer / Geospatial Analyst","Python, geospatial data pipelines, PostGIS, GDAL, Solana",EU,aequitas,None,Medium,"Web3-based decentralised street mapping platform replacing HERE/Google; geospatial data pipeline skills from aequitas apply directly.",AI Research Batch 003,Yes,Unknown
Planet Labs (EU),https://www.planet.com,https://www.planet.com/careers,USA,Berlin (EU office),Geospatial,Satellite Earth Observation,Scaleup,501-1000,Geospatial / EO,Hybrid,Yes,Unknown,EU,"Data Engineer / Geospatial Analyst","Python, GDAL, rasterio, PostGIS, GCP, Spark, geospatial ML",EU,aequitas,German (Learning),High,"Planet's Berlin team processes daily global satellite imagery; Python, PostGIS and Spark geospatial data engineering from aequitas maps directly.",AI Research Batch 003,Yes,Unknown
Satellogic (EU),https://www.satellogic.com,https://www.satellogic.com/careers,Argentina,Amsterdam (EU hub),Geospatial,Satellite Earth Observation,Scaleup,201-500,Geospatial / EO,Remote,Yes,Unknown,EU,"Data Engineer / Geospatial Analyst","Python, GDAL, PostGIS, geospatial ML, cloud data",EU,aequitas,Dutch (Learning),High,"High-resolution EO constellation with Amsterdam EU hub; geospatial Python and PostGIS skills from aequitas are directly applicable.",AI Research Batch 003,Yes,Unknown
Cervest,https://cervest.earth,https://cervest.earth/careers,UK,London,ClimateTech,Climate Risk Intelligence,Startup,51-200,ClimateTech,Hybrid,Yes,Unknown,EU,"Data Engineer / Geospatial Analyst","Python, PostGIS, GCP, geospatial data, rasterio",EU,aequitas,None,High,"Climate risk platform using satellite and geospatial data to model physical risk; PostGIS, GCP and geospatial Python from aequitas maps directly.",AI Research Batch 003,Yes,Unknown
South Pole,https://www.southpole.com,https://www.southpole.com/careers,Switzerland,Zurich,ClimateTech,Carbon Project Development,Scaleup,501-1000,ClimateTech,Hybrid,Yes,Unknown,EU,"Data Engineer / Geospatial Analyst","Python, GIS, PostGIS, satellite data, dbt, REST APIs",EU,aequitas,None,High,"Global carbon project developer with strong geospatial and satellite data team in Zurich; PostGIS and dbt skills match.",AI Research Batch 003,Yes,Unknown
CarbonChain,https://www.carbonchain.com,https://www.carbonchain.com/careers,UK,London,ClimateTech,Commodity Supply Chain Emissions,Startup,51-200,ClimateTech,Hybrid,Yes,Unknown,EU,"Data Engineer / AI Engineer","Python, dbt, GCP, data pipelines, REST APIs",EU,aequitas,None,High,"London ClimateTech startup tracking carbon in commodity supply chains; dbt and GCP data engineering stack matches candidate's profile.",AI Research Batch 003,Yes,Unknown
Pachama,https://pachama.com,https://pachama.com/careers,USA,London (EU hub),ClimateTech,Forest Carbon & Satellite Analytics,Startup,51-200,ClimateTech,Remote,Yes,Unknown,EU,"Data Engineer / Geospatial Analyst","Python, rasterio, GDAL, PostGIS, GCP, satellite ML",EU,aequitas,None,High,"Forest carbon verification using satellite imagery; PostGIS, rasterio and GCP geospatial pipeline skills from aequitas directly applicable.",AI Research Batch 003,Yes,Unknown
Persefoni,https://www.persefoni.com,https://www.persefoni.com/careers,USA,Amsterdam (EU hub),ClimateTech,Enterprise Carbon Management,Scaleup,201-500,ClimateTech,Remote,Yes,Unknown,EU,"Data Engineer / AI Engineer","Python, dbt, Snowflake, REST APIs, data pipelines",EU,aequitas,Dutch (Learning),High,"Enterprise climate platform with Amsterdam EU hub; dbt and Python data engineering matches candidate's stack.",AI Research Batch 003,Yes,Unknown
Watershed,https://watershed.com,https://watershed.com/careers,USA,London (EU hub),ClimateTech,Enterprise Sustainability Platform,Scaleup,201-500,ClimateTech,Remote,Yes,Unknown,EU,"Data Engineer / AI Engineer","Python, dbt, GCP, PostgreSQL, data pipelines",EU,aequitas,None,High,"Enterprise carbon accounting platform with London EU office expanding fast; dbt and GCP data engineering matches candidate exactly.",AI Research Batch 003,Yes,Unknown
DISA (Datakustik),https://www.datakustik.com,https://www.datakustik.com/company/careers,Germany,Munich,Smart Cities,Urban Noise & Environmental Modelling,Startup,11-50,Smart Cities,Hybrid,Unknown,Unknown,EU,"Geospatial Analyst / Data Engineer","Python, GIS, PostGIS, spatial data, noise modelling",EU,aequitas,German (Learning),Medium,"Munich-based environmental and urban noise GIS software used by EU municipalities; PostGIS and geospatial analytics from aequitas maps to urban modelling work.",AI Research Batch 003,Yes,Unknown
Urbica Design,https://urbica.co,https://urbica.co/careers,Russia,Remote (EU clients),Smart Cities,Urban Data Visualisation & Analytics,Startup,11-50,Smart Cities,Remote,Unknown,Unknown,EU,"Data Engineer / Geospatial Analyst","Python, PostGIS, Mapbox GL, React, geospatial analytics",EU,aequitas,None,Medium,"Urban data visualisation studio working on EU smart city projects using Mapbox and PostGIS; geospatial analytics and data engineering background matches.",AI Research Batch 003,Yes,Unknown
Atkins (SNC-Lavalin Transport),https://www.snclavalin.com,https://www.snclavalin.com/en/careers,UK,London,Transport Analytics,Transport & Infrastructure Analytics,Scaleup,1001-5000,Consultancy,Hybrid,Yes,Unknown,EU,"Data Engineer / Geospatial Analyst","Python, GIS, PostGIS, GTFS, transport modelling",EU,aequitas,None,Medium,"Major transport consultancy delivering DfT smart mobility projects; GTFS and geospatial data analytics from aequitas directly applicable.",AI Research Batch 003,No,Unknown
SNCF Connect & Tech,https://www.sncf-connect.com,https://careers.sncf.com,France,Paris,Transport Analytics,Rail Data & Digital Platform,Scaleup,201-500,Transport Tech,Hybrid,Yes,Unknown,EU,"Data Engineer / AI Engineer","Python, Spark, Kafka, GCP, GTFS, geospatial",EU,aequitas,Unknown,Medium,"SNCF's digital and data engineering arm building national rail data products; Python, Spark and GTFS skills from aequitas match this team's stack.",AI Research Batch 003,No,Unknown
Blikk (NS Digital),https://www.ns.nl/over-ns/ns-digital,https://werkenbijns.nl,Netherlands,Utrecht,Transport Analytics,Public Rail Data Platform,Scaleup,51-200,Transport Tech,Hybrid,Yes,Unknown,EU,"Data Engineer / AI Engineer","Python, GTFS, Kafka, Azure, GCP, geospatial",EU,aequitas,Dutch (Learning),High,"NS (Dutch Railways) digital product team building open data and GTFS-based journey products; GTFS and transit data engineering from aequitas is a direct match.",AI Research Batch 003,Yes,Unknown
9292 (OV-data),https://9292.nl,https://9292.nl/en/jobs,Netherlands,Utrecht,Transport Analytics,Multimodal Public Transport Planner,Startup,51-200,Transport Tech,Hybrid,Yes,Unknown,EU,"Data Engineer / Geospatial Analyst","Python, GTFS, PostGIS, REST APIs, transit data",EU,aequitas,Dutch (Learning),High,"Dutch national multimodal journey planner built on open GTFS data from all operators; transit data engineering from aequitas is a direct match.",AI Research Batch 003,Yes,Unknown
Mobimeo,https://www.mobimeo.com,https://www.mobimeo.com/careers,Germany,Berlin,Transport Analytics,MaaS & GTFS Platform (Deutsche Bahn),Scaleup,51-200,Transport Tech,Hybrid,Yes,Unknown,EU,"Data Engineer / AI Engineer","Python, GTFS, GCP, Kotlin, geospatial, REST APIs",EU,aequitas,German (Learning),High,"Deutsche Bahn spin-out building MaaS and GTFS data products for European transit; GTFS and geospatial transit analytics from aequitas is a direct match.",AI Research Batch 003,Yes,Unknown
Entur,https://entur.no,https://entur.no/karriere,Norway,Oslo,Transport Analytics,National Transit Data Platform,Scaleup,51-200,Transport Tech,Hybrid,Yes,Unknown,EU,"Data Engineer / Geospatial Analyst","Python, GTFS, NeTEx, GCP, PostGIS, Kafka, geospatial",EU,aequitas,None,High,"Norway's national transit data operator providing open GTFS and NeTEx feeds to all operators; transit data engineering and GTFS pipeline work from aequitas is a perfect match.",AI Research Batch 003,Yes,Unknown
Trafiklab (Samtrafiken),https://www.samtrafiken.se,https://samtrafiken.se/om-oss/jobb,Sweden,Stockholm,Transport Analytics,Open Transit Data & GTFS APIs,Scaleup,51-200,Transport Tech,Hybrid,Yes,Unknown,EU,"Data Engineer / Geospatial Analyst","Python, GTFS, REST APIs, geospatial data, PostGIS",EU,aequitas,None,High,"Swedish national transit open data platform (Trafiklab) serving GTFS for all Swedish operators; aequitas GTFS pipeline engineering is a direct match.",AI Research Batch 003,Yes,Unknown
Skedgo,https://skedgo.com,https://skedgo.com/careers,Australia,London (EU remote),Transport Analytics,MaaS & Multimodal Journey Planning,Startup,51-200,Transport Tech,Remote,Yes,Unknown,EU,"Data Engineer / Geospatial Analyst","Python, GTFS, PostGIS, REST APIs, geospatial analytics",EU,aequitas,None,High,"Multimodal journey planning API platform used by EU transit agencies; GTFS and geospatial analytics from aequitas directly matches their data platform team needs.",AI Research Batch 003,Yes,Unknown
Conduent Transportation (EU),https://www.conduent.com,https://www.conduent.com/careers,USA,Toulouse (EU transport hub),Transport Analytics,Smart Ticketing & Transit Analytics,Scaleup,501-1000,Transport Tech,Hybrid,Unknown,Unknown,EU,"Data Engineer / Geospatial Analyst","Python, GTFS, AVLS, REST APIs, geospatial, SQL",EU,aequitas,Unknown,Medium,"Global transit technology company with Toulouse engineering hub delivering EU smart ticketing; GTFS and transit data analytics from aequitas aligns well.",AI Research Batch 003,No,Unknown
ITS (Intelligent Transport Systems) UK,https://www.its-uk.org.uk,https://www.its-uk.org.uk/careers,UK,Leeds,Transport Analytics,ITS Standards & Data Ecosystem,Startup,11-50,Transport Tech,Hybrid,Unknown,Unknown,UK,"Data Engineer / Geospatial Analyst","Python, GTFS, NeTEx, GIS, open transport data",EU,aequitas,None,Medium,"UK ITS industry body driving open data standards including GTFS and NeTEx adoption with DfT; aequitas GTFS and DfT policy work is directly relevant.",AI Research Batch 003,Yes,Unknown
