Company,Website,Careers_URL,Country,City,Sector,Subsector,Company_Stage,Company_Scale,Employer_Category,Remote,Visa_Sponsorship,EOR,Hiring_Geography,Target_Roles,Tech_Stack,Region_Eligibility,Portfolio_Theme_Match,Language_Requirement,Hiring_Confidence,Reason_Match,Source,Cold_Outreach_Candidate,Visa_Sponsor_Register
Corlytics,https://www.corlytics.com,https://www.corlytics.com/careers,Ireland,Dublin,RegTech,Regulatory Intelligence,Scaleup,51-200,RegTech,Hybrid,Yes,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, NLP, ML, REST APIs, PostgreSQL",EU,eu-ai-assurance-os,None,High,"AI-powered regulatory intelligence platform based in Dublin; candidate's compliance analytics work maps well to their NLP-driven regulatory data pipelines.",AI Research Batch 001,Yes,Unknown
ClauseMatch,https://www.clausematch.com,https://www.clausematch.com/careers,UK,London,RegTech,Policy & Document Management,Scaleup,51-200,RegTech,Hybrid,Yes,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, NLP, document AI, REST APIs",EU,eu-ai-assurance-os,None,Medium,"Regulatory policy management SaaS; candidate's LLM/RAG and compliance tooling experience relevant to their AI-assisted document processing.",AI Research Batch 001,Yes,Unknown
Quantexa,https://www.quantexa.com,https://www.quantexa.com/careers,UK,London,RegTech,Data Intelligence & Compliance,Scaleup,201-1000,RegTech,Hybrid,Yes,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, Scala, Spark, graph analytics, Databricks",EU,eu-ai-assurance-os,None,High,"Entity resolution and compliance analytics platform; candidate's Databricks experience and compliance analytics background is a direct match.",AI Research Batch 001,Yes,Unknown
Behavox,https://www.behavox.com,https://www.behavox.com/careers,UK,London,RegTech,Compliance Surveillance,Scaleup,201-1000,RegTech,Hybrid,Yes,Unknown,Global,Data Engineer / AI Engineer / Backend Engineer,"Python, ML, data pipelines, NLP, APIs",EU,eu-ai-assurance-os,None,Medium,"Behavioural compliance monitoring platform for financial services; candidate's data pipeline and ML engineering skills are applicable.",AI Research Batch 001,No,Unknown
Neterium,https://www.neterium.io,https://www.neterium.io/careers,Belgium,Brussels,RegTech,AML & Sanctions Screening,Startup,11-50,RegTech,Hybrid,Unknown,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, Java, REST APIs, screening pipelines",EU,eu-ai-assurance-os,None,Medium,"AML and sanctions screening RegTech startup in Brussels; candidate's Spring Boot and Java backend skills relevant to their API-first compliance tooling.",AI Research Batch 001,Yes,Unknown
Encompass Corporation,https://www.encompasscorporation.com,https://www.encompasscorporation.com/careers,UK,Glasgow,RegTech,KYC Automation,Scaleup,201-1000,RegTech,Hybrid,Yes,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, REST APIs, data orchestration, Java",EU,eu-ai-assurance-os,None,Medium,"KYC process automation for regulated industries; candidate's backend engineering (Spring Boot, Java) and data pipeline experience maps well.",AI Research Batch 001,No,Unknown
Kompli-Global,https://kompli-global.com,https://kompli-global.com/careers,UK,Manchester,RegTech,Risk Intelligence,Startup,11-50,RegTech,Hybrid,Unknown,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, REST APIs, NLP, data ingestion",EU,eu-ai-assurance-os,None,Low,"Risk intelligence and compliance data aggregation; candidate's data engineering and compliance platform skills are relevant.",AI Research Batch 001,Yes,Unknown
ThetaRay,https://www.thetaray.com,https://www.thetaray.com/careers,Netherlands,Amsterdam,RegTech,AML AI Analytics,Scaleup,51-200,RegTech,Hybrid,Yes,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, ML, data pipelines, GCP, cloud analytics",EU,eu-ai-assurance-os,None,High,"AI-powered AML transaction monitoring; candidate's ML data pipeline experience and cloud (GCP) skills match their engineering stack.",AI Research Batch 001,Yes,Unknown
Luminance,https://www.luminance.com,https://www.luminance.com/careers,UK,London,LegalTech,AI Contract Analysis,Scaleup,201-1000,LegalTech,Hybrid,Yes,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, NLP, ML, LLM, REST APIs",EU,eu-ai-assurance-os,None,High,"AI contract review and legal data platform; candidate's LLM/RAG expertise and backend engineering are directly applicable.",AI Research Batch 001,Yes,Unknown
Robin AI,https://www.robinai.co.uk,https://www.robinai.co.uk/careers,UK,London,LegalTech,AI Contract Management,Startup,51-200,LegalTech,Hybrid,Yes,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, LLM, RAG, FastAPI, REST APIs",EU,eu-ai-assurance-os,None,High,"LLM-powered contract review and management; candidate's RAG/LLM infrastructure and FastAPI skills are a strong direct match.",AI Research Batch 001,Yes,Unknown
Juro,https://juro.com,https://juro.com/careers,UK,London,LegalTech,Contract Management SaaS,Scaleup,51-200,LegalTech,Hybrid,Yes,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, REST APIs, PostgreSQL, TypeScript",EU,eu-ai-assurance-os,None,Medium,"Contract lifecycle management platform; candidate's backend engineering and data skills applicable, especially as they add AI features.",AI Research Batch 001,No,Unknown
Ironclad,https://ironcladapp.com,https://ironcladapp.com/careers,UK,London,LegalTech,Contract Lifecycle Management,Scaleup,201-1000,LegalTech,Hybrid,Yes,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, REST APIs, data workflows, Java",EU,eu-ai-assurance-os,None,Medium,"CLM platform with EU operations; candidate's Java/Spring Boot and API engineering skills relevant to their backend teams.",AI Research Batch 001,No,Unknown
Lexoo,https://www.lexoo.co.uk,https://www.lexoo.co.uk/careers,UK,London,LegalTech,Legal Services AI,Startup,11-50,LegalTech,Hybrid,Unknown,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, APIs, NLP",EU,eu-ai-assurance-os,None,Low,"AI-assisted legal services marketplace; candidate's NLP and API engineering skills are relevant to their data infrastructure needs.",AI Research Batch 001,No,Unknown
Syndio,https://synd.io,https://synd.io/careers,UK,London,Pay Transparency,Pay Equity Analytics,Scaleup,51-200,HRTech,Hybrid,Yes,Unknown,Global,Data Engineer / AI Engineer / Backend Engineer,"Python, data pipelines, analytics, REST APIs",EU,workforceguardai,None,High,"Pay equity analytics platform; candidate's workforceguardai EU Pay Transparency analytics project is a direct portfolio match.",AI Research Batch 001,Yes,Unknown
beqom,https://www.beqom.com,https://www.beqom.com/careers,Switzerland,Nyon,Pay Transparency,Compensation Management,Scaleup,201-1000,HRTech,Hybrid,Yes,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, data pipelines, REST APIs, Azure",EU,workforceguardai,None,High,"Cloud compensation and performance management platform; candidate's Azure skills and workforceguardai pay analytics background are directly relevant.",AI Research Batch 001,Yes,Unknown
Figures,https://www.figures.hr,https://www.figures.hr/careers,France,Paris,Pay Transparency,Compensation Benchmarking,Startup,11-50,HRTech,Hybrid,Unknown,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, data analytics, PostgreSQL, REST APIs",EU,workforceguardai,None,High,"Compensation benchmarking and pay transparency SaaS; candidate's workforceguardai project is a direct use-case match.",AI Research Batch 001,Yes,Unknown
Leapsome,https://www.leapsome.com,https://www.leapsome.com/careers,Germany,Berlin,Pay Transparency,People Analytics,Scaleup,201-1000,HRTech,Hybrid,Yes,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, data analytics, REST APIs, PostgreSQL",EU,workforceguardai,German (Learning),High,"People enablement platform with pay equity features; candidate's workforceguardai analytics work maps well to their people analytics data infrastructure.",AI Research Batch 001,Yes,Unknown
Personio,https://www.personio.com,https://www.personio.com/careers,Germany,Munich,Pay Transparency,HR Management Platform,Scaleup,1000+,HRTech,Hybrid,Yes,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, data pipelines, REST APIs, Java, PostgreSQL",EU,workforceguardai,German (Learning),High,"Leading European HR SaaS platform; candidate's workforceguardai compliance analytics and Spring Boot/Java backend skills are directly applicable.",AI Research Batch 001,No,Unknown
HiBob,https://www.hibob.com,https://www.hibob.com/careers,UK,London,Pay Transparency,HR Data Platform,Scaleup,201-1000,HRTech,Hybrid,Yes,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, data pipelines, REST APIs, analytics",EU,workforceguardai,None,High,"Modern HR platform with workforce analytics; candidate's workforceguardai pay transparency analytics background maps well to their data engineering needs.",AI Research Batch 001,No,Unknown
Workpath,https://www.workpath.com,https://www.workpath.com/careers,Germany,Munich,Pay Transparency,OKR & People Analytics,Startup,51-200,HRTech,Hybrid,Unknown,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, REST APIs, analytics, data pipelines",EU,workforceguardai,German (Learning),Medium,"OKR and workforce analytics platform; candidate's people analytics and data pipeline work from workforceguardai is relevant.",AI Research Batch 001,Yes,Unknown
Faculty AI,https://faculty.ai,https://faculty.ai/careers,UK,London,GovTech,Public Sector AI,Scaleup,201-1000,GovTech,Hybrid,Yes,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, ML, data engineering, GCP, Databricks",EU,"eu-ai-assurance-os,aequitas",None,High,"AI platform for government and public sector; candidate's GCP, Databricks, and public equity analytics projects (aequitas) are a strong match.",AI Research Batch 001,Yes,Unknown
Public Digital,https://public.digital,https://public.digital/careers,UK,London,GovTech,Digital Government Consulting,Startup,11-50,GovTech,Hybrid,Unknown,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, cloud, data platforms, agile",EU,aequitas,None,Medium,"Digital transformation consultancy for public services; candidate's aequitas transport equity RAG project demonstrates public sector analytics skills.",AI Research Batch 001,Yes,Unknown
Civic Eagle (now Enview),https://www.enview.com,https://www.enview.com/careers,Netherlands,Amsterdam,GovTech,Policy Monitoring,Startup,11-50,GovTech,Hybrid,Unknown,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, NLP, data pipelines, REST APIs",EU,aequitas,None,Low,"Policy monitoring and government data analytics; candidate's public sector analytics and NLP skills from aequitas are relevant.",AI Research Batch 001,No,Unknown
mySociety,https://www.mysociety.org,https://www.mysociety.org/careers,UK,Remote,GovTech,Civic Technology,Startup,11-50,GovTech,Remote,Unknown,Unknown,UK,Data Engineer / AI Engineer / Backend Engineer,"Python, Django, PostgreSQL, REST APIs",EU,aequitas,None,Medium,"Civic technology organization building tools for transparency and government accountability; candidate's public sector data work maps well.",AI Research Batch 001,Yes,Unknown
Civica,https://www.civica.com,https://www.civica.com/en-gb/careers,UK,London,GovTech,Public Sector SaaS,Mid-market,1000+,GovTech,Hybrid,Yes,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, Java, cloud, REST APIs, data platforms",EU,aequitas,None,Medium,"Public sector software and managed services provider; candidate's Java/Spring Boot and data engineering skills are applicable across multiple government verticals.",AI Research Batch 001,No,Unknown
NEC Software Solutions,https://www.necsws.com,https://www.necsws.com/careers,UK,Manchester,GovTech,Public Safety & Analytics,Mid-market,1000+,GovTech,Hybrid,Yes,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, Java, data pipelines, REST APIs, analytics",EU,aequitas,None,Medium,"Public sector analytics and safety software; candidate's backend engineering (Java/Spring Boot) and public sector data experience are relevant.",AI Research Batch 001,No,Unknown
Sopra Steria,https://www.soprasteria.com,https://www.soprasteria.com/careers,France,Paris,GovTech,Digital Government Services,Mid-market,1000+,GovTech,Hybrid,Yes,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, Java, cloud, data platforms, Azure",EU,aequitas,None,Medium,"Major European digital government services firm; candidate's Java and Azure cloud skills apply to their public sector data engineering projects.",AI Research Batch 001,No,Unknown
Frontier Economics,https://www.frontier-economics.com,https://www.frontier-economics.com/uk/en/careers,UK,London,GovTech,Public Policy Analytics,Mid-market,201-1000,GovTech,Hybrid,Unknown,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, data analytics, economic modelling, R",EU,aequitas,None,Low,"Economic consultancy with large public policy analytics practice; candidate's public equity data analytics skills from aequitas are relevant.",AI Research Batch 001,No,Unknown
TrustArc,https://trustarc.com,https://trustarc.com/company/careers,UK,London,AI Governance,Privacy & Compliance SaaS,Scaleup,201-1000,AI Governance,Hybrid,Yes,Unknown,Global,Data Engineer / AI Engineer / Backend Engineer,"Python, REST APIs, compliance data, cloud",EU,eu-ai-assurance-os,None,Medium,"Privacy and compliance management platform with AI governance features; candidate's EU AI Act compliance platform skills are directly relevant.",AI Research Batch 001,Yes,Unknown
OneTrust,https://www.onetrust.com,https://www.onetrust.com/careers,UK,London,AI Governance,Privacy & Compliance Platform,Scaleup,1000+,AI Governance,Hybrid,Yes,Unknown,Global,Data Engineer / AI Engineer / Backend Engineer,"Python, Java, cloud, REST APIs, data pipelines",EU,eu-ai-assurance-os,None,Medium,"Privacy and data governance platform expanding into AI compliance; candidate's EU AI Act compliance work and Spring Boot/Java backend skills match their engineering needs.",AI Research Batch 001,No,Unknown
Palantir Technologies,https://www.palantir.com,https://www.palantir.com/careers,UK,London,GovTech,Data Intelligence Platform,Mid-market,1000+,GovTech,Hybrid,Yes,Unknown,Global,Data Engineer / AI Engineer / Backend Engineer,"Python, Java, Spark, data pipelines, ML",EU,"eu-ai-assurance-os,aequitas",None,Medium,"Major data analytics platform for government and enterprise; candidate's data engineering stack (Databricks, Python) and public sector analytics work are relevant.",AI Research Batch 001,No,Unknown
AIShield (Bosch),https://www.boschaishield.com,https://www.boschaishield.com/careers,Germany,Berlin,AI Governance,AI Security & Robustness,Startup,11-50,AI Governance,Hybrid,Unknown,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, ML security, REST APIs, FastAPI",EU,eu-ai-assurance-os,German (Learning),Medium,"AI security and robustness testing platform backed by Bosch; candidate's EU AI Act compliance and model governance portfolio aligns directly.",AI Research Batch 001,Yes,Unknown
Merantix Momentum,https://www.merantix-momentum.com,https://www.merantix-momentum.com/careers,Germany,Berlin,AI Governance,Applied AI Consulting,Scaleup,51-200,AI Governance,Hybrid,Yes,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, ML, LLM, GCP, data engineering",EU,eu-ai-assurance-os,German (Learning),Medium,"Berlin-based applied AI studio; candidate's LLM infrastructure and compliance platform skills are applicable to their enterprise AI projects.",AI Research Batch 001,Yes,Unknown
Fraugster,https://www.fraugster.com,https://www.fraugster.com/careers,Germany,Berlin,RegTech,AI Fraud Detection,Scaleup,51-200,RegTech,Hybrid,Yes,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, ML, real-time data pipelines, GCP",EU,eu-ai-assurance-os,German (Learning),Medium,"AI fraud detection platform; candidate's ML data pipeline and GCP experience are applicable, and compliance context is a differentiator.",AI Research Batch 001,No,Unknown
Bitvavo,https://www.bitvavo.com,https://www.bitvavo.com/careers,Netherlands,Amsterdam,RegTech,Crypto Compliance & Analytics,Scaleup,201-1000,RegTech,Hybrid,Yes,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, Java, data pipelines, REST APIs, PostgreSQL",EU,eu-ai-assurance-os,None,Low,"European crypto exchange with strong compliance engineering team; candidate's Java and data pipeline skills are applicable.",AI Research Batch 001,No,Unknown
Kira Systems (Litera),https://www.litera.com,https://www.litera.com/careers,UK,London,LegalTech,AI Contract Analysis,Scaleup,201-1000,LegalTech,Hybrid,Yes,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, ML, NLP, document AI, REST APIs",EU,eu-ai-assurance-os,None,Medium,"ML-powered contract and document review platform (acquired by Litera); candidate's LLM/RAG and ML pipeline skills apply to their AI document extraction infrastructure.",AI Research Batch 001,No,Unknown
Lexi,https://www.lexi.legal,https://www.lexi.legal/careers,Estonia,Tallinn,LegalTech,AI Legal Research,Startup,1-10,LegalTech,Remote,Unknown,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, LLM, RAG, FastAPI",EU,eu-ai-assurance-os,None,Medium,"Tallinn-based AI legal research startup; candidate's RAG/LLM infrastructure skills and EU location eligibility are a strong fit for this Tier 3 city target.",AI Research Batch 001,Yes,Unknown
Veriff,https://www.veriff.com,https://www.veriff.com/careers,Estonia,Tallinn,RegTech,Identity Verification & Compliance,Scaleup,201-1000,RegTech,Hybrid,Yes,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, ML, data pipelines, GCP, REST APIs",EU,eu-ai-assurance-os,None,High,"Leading identity verification platform headquartered in Tallinn; candidate's ML data pipeline and GCP skills are a direct match, Tier 3 city target.",AI Research Batch 001,Yes,Unknown
Salv,https://salv.com,https://salv.com/careers,Estonia,Tallinn,RegTech,AML Collaboration Platform,Startup,51-200,RegTech,Hybrid,Yes,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, data pipelines, REST APIs, PostgreSQL",EU,eu-ai-assurance-os,None,High,"AML intelligence and collaboration platform based in Tallinn; candidate's data engineering skills and compliance analytics background are directly relevant, Tier 3 city target.",AI Research Batch 001,Yes,Unknown
Nortal,https://nortal.com,https://nortal.com/careers,Estonia,Tallinn,GovTech,Digital Government Transformation,Scaleup,201-1000,GovTech,Hybrid,Yes,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, Java, data platforms, cloud, REST APIs",EU,aequitas,None,Medium,"Digital government and data transformation consultancy based in Tallinn with EU-wide projects; candidate's Java, cloud, and public sector analytics skills match well.",AI Research Batch 001,Yes,Unknown
Spring Technologies,https://www.spring-gmbh.com,https://www.spring-gmbh.com/careers,Germany,Hamburg,GovTech,Smart City Analytics,Startup,51-200,GovTech,Hybrid,Unknown,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, data engineering, REST APIs, PostgreSQL",EU,aequitas,German (Learning),Low,"Smart city and urban analytics platform in Hamburg; candidate's aequitas transport equity analytics project maps well to their public data engineering work.",AI Research Batch 001,Yes,Unknown
Onfido,https://onfido.com,https://onfido.com/careers,UK,London,RegTech,Identity & Compliance AI,Scaleup,201-1000,RegTech,Hybrid,Yes,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, ML, data pipelines, GCP, REST APIs",EU,eu-ai-assurance-os,None,High,"AI-powered identity verification and compliance platform; candidate's ML pipelines, GCP, and compliance engineering background are a strong match.",AI Research Batch 001,Yes,Unknown
