Company,Website,Careers_URL,Country,City,Sector,Subsector,Company_Stage,Company_Scale,Employer_Category,Remote,Visa_Sponsorship,EOR,Hiring_Geography,Target_Roles,Tech_Stack,Region_Eligibility,Portfolio_Theme_Match,Language_Requirement,Hiring_Confidence,Reason_Match,Source,Cold_Outreach_Candidate,Visa_Sponsor_Register
Spatial Vision,https://www.spatialvision.com.au,https://www.spatialvision.com.au/about/careers,Australia,Melbourne,Geospatial,Spatial Analytics & GIS,Scaleup,51-200,Government Supplier,Hybrid,Unknown,Unknown,Australia,Data Engineer / AI Engineer,"Python, GIS, PostGIS, geospatial analytics, SQL",Australia,aequitas,None,High,Specialist Australian geospatial analytics consultancy working with state and federal government; aequitas transport analytics is a direct portfolio match.,AI Research Batch 005,Yes,Unknown
AAM Group,https://www.aamgroup.com,https://www.aamgroup.com/careers,Australia,Brisbane,Geospatial,Survey & Spatial Data,Scaleup,201-500,Government Supplier,Hybrid,Unknown,Unknown,Australia,Data Engineer / AI Engineer,"Python, geospatial, LiDAR, AWS, data pipelines",Australia,aequitas,None,High,Australian spatial data and survey company with government contracts; services align with candidate's geospatial analytics and transport data skills.,AI Research Batch 005,Yes,Unknown
Quantium,https://www.quantium.com,https://www.quantium.com/careers,Australia,Sydney,Data/AI Platforms,Data Analytics,Scaleup,501-1000,Tech Company,Hybrid,Yes,Unknown,Australia,Data Engineer / AI Engineer,"Python, Spark, Databricks, GCP, SQL, ML",Australia,aequitas,None,High,Top Australian data analytics firm with Woolworths Group backing; active 482 sponsor; Databricks and GCP stack matches candidate directly; strong hiring demand.,AI Research Batch 005,Yes,Unknown
Nuix,https://www.nuix.com,https://www.nuix.com/careers,Australia,Sydney,Data/AI Platforms,Investigative Analytics,Mid-market,501-1000,Tech Company,Hybrid,Yes,Unknown,Australia,Data Engineer / Backend Engineer,"Python, Java, Elasticsearch, data pipelines, ML",Australia,workforceguardai,None,Medium,ASX-listed data analytics platform used by intelligence agencies and enterprises; defence-adjacent; strong Python and data engineering roles.,AI Research Batch 005,Yes,Unknown
Max Kelsen,https://www.maxkelsen.com,https://www.maxkelsen.com/careers,Australia,Brisbane,Data/AI Platforms,AI Consulting,Scaleup,51-200,Tech Company,Hybrid,Unknown,Unknown,Australia,AI Engineer / Data Engineer,"Python, FastAPI, ML, GCP, AWS, LLM, RAG",Australia,"aequitas,workforceguardai",None,High,Brisbane-based AI consultancy with government and enterprise clients; FastAPI and RAG/LLM stack is a direct match to candidate's skills.,AI Research Batch 005,Yes,Unknown
Silverpond,https://www.silverpond.com.au,https://www.silverpond.com.au/careers,Australia,Melbourne,Data/AI Platforms,AI Consulting,Scaleup,11-50,Tech Company,Hybrid,Unknown,Unknown,Australia,AI Engineer / Data Engineer,"Python, ML, deep learning, FastAPI, GCP",Australia,"eu-ai-assurance-os,aequitas",None,High,Melbourne deep-learning consultancy with government and enterprise clients; AI governance and ML pipeline work aligns with candidate's eu-ai-assurance-os and aequitas projects.,AI Research Batch 005,Yes,Unknown
Telstra Health,https://www.telstrahealth.com,https://www.telstrahealth.com/careers,Australia,Melbourne,HealthTech,Digital Health Platform,Mid-market,1001-5000,Government Supplier,Hybrid,Yes,Unknown,Australia,Data Engineer / Backend Engineer,"Python, Java, Spring Boot, Azure, SQL, FHIR",Australia,workforceguardai,None,High,Telstra's digital health subsidiary and major ADHA supplier; Spring Boot stack matches; active 482 visa sponsor; strong data and backend engineering demand.,AI Research Batch 005,Yes,Unknown
Alcidion,https://www.alcidion.com,https://www.alcidion.com/careers,Australia,Adelaide,HealthTech,Clinical Decision Support,Scaleup,51-200,Government Supplier,Hybrid,Unknown,Unknown,Australia,Data Engineer / Backend Engineer,"Python, Java, HL7, FHIR, SQL, data analytics",Australia,workforceguardai,None,High,ASX-listed health informatics company; ADHA ecosystem supplier; Adelaide HQ adds city diversity; data engineering and analytics roles relevant to candidate.,AI Research Batch 005,Yes,Unknown
Coviu,https://www.coviu.com,https://www.coviu.com/careers,Australia,Sydney,HealthTech,Telehealth Platform,Scaleup,51-200,Tech Company,Hybrid,Unknown,Unknown,Australia,Data Engineer / Backend Engineer,"Python, WebRTC, AWS, REST APIs, data pipelines",Australia,workforceguardai,None,Medium,CSIRO Data61 spinout telehealth platform with government-backed growth; CSIRO heritage makes it visa-friendly; data engineering roles growing post-COVID adoption.,AI Research Batch 005,Yes,Unknown
Halaxy,https://www.halaxy.com,https://www.halaxy.com/careers,Australia,Melbourne,HealthTech,Practice Management SaaS,Scaleup,51-200,Tech Company,Hybrid,Unknown,Unknown,Australia,Data Engineer / Backend Engineer,"Python, Ruby on Rails, PostgreSQL, AWS, REST APIs",Australia,workforceguardai,None,Medium,Fast-growing Australian health practice management platform used across ANZ; data engineering and analytics roles growing with scale.,AI Research Batch 005,Yes,Unknown
HotDoc,https://www.hotdoc.com.au,https://www.hotdoc.com.au/careers,Australia,Melbourne,HealthTech,Patient Engagement Platform,Scaleup,201-500,Tech Company,Hybrid,Unknown,Unknown,Australia,Data Engineer / Backend Engineer,"Python, Ruby, PostgreSQL, GCP, data pipelines",Australia,workforceguardai,None,Medium,Leading Australian patient booking and engagement platform; data platform team growing; GCP stack aligns with candidate's experience.,AI Research Batch 005,Yes,Unknown
Afterpay/Block,https://www.block.xyz,https://www.block.xyz/careers,Australia,Melbourne,FinTech,Buy Now Pay Later,Mid-market,5001-10000,Tech Company,Hybrid,Yes,Unknown,Australia,Data Engineer / Backend Engineer,"Python, Java, Kotlin, GCP, BigQuery, dbt, Spark",Australia,bharat-alpha,None,High,Block/Square BNPL arm headquartered in Melbourne; active 482 visa sponsor; dbt and BigQuery stack matches candidate directly; strong data engineering team.,AI Research Batch 005,Yes,Unknown
Airwallex,https://www.airwallex.com,https://www.airwallex.com/au/careers,Australia,Melbourne,FinTech,Cross-border Payments,Scaleup,1001-5000,Tech Company,Hybrid,Yes,Unknown,Australia,Data Engineer / Backend Engineer,"Python, Java, Spring Boot, GCP, Spark, dbt, SQL",Australia,bharat-alpha,None,High,Melbourne-founded global payments unicorn; Spring Boot and dbt stack is a direct match; active 482 sponsor; strong data platform team hiring.,AI Research Batch 005,Yes,Unknown
Tyro Payments,https://www.tyro.com,https://www.tyro.com/careers,Australia,Sydney,FinTech,Payments & Banking,Scaleup,501-1000,Tech Company,Hybrid,Unknown,Unknown,Australia,Data Engineer / Backend Engineer,"Python, Java, AWS, Kafka, dbt, SQL, data pipelines",Australia,bharat-alpha,None,High,ASX-listed Australian payments company; dbt and data engineering stack is a direct match to candidate's skills and bharat-alpha financial data portfolio.,AI Research Batch 005,Yes,Unknown
Zip Co,https://www.zip.co,https://www.zip.co/au/careers,Australia,Sydney,FinTech,Consumer Finance,Scaleup,501-1000,Tech Company,Hybrid,Unknown,Unknown,Australia,Data Engineer / Backend Engineer,"Python, Scala, AWS, Spark, dbt, SQL",Australia,bharat-alpha,None,High,ASX-listed BNPL company with global operations; data engineering and analytics roles growing; dbt/Spark stack matches candidate.,AI Research Batch 005,Yes,Unknown
Judo Bank,https://www.judobank.com.au,https://www.judobank.com.au/careers,Australia,Melbourne,FinTech,SME Lending,Scaleup,501-1000,Tech Company,Hybrid,Unknown,Unknown,Australia,Data Engineer / Backend Engineer,"Python, AWS, dbt, SQL, data analytics",Australia,bharat-alpha,None,Medium,ASX-listed challenger bank focused on SME lending; data and analytics engineering roles growing; bharat-alpha financial data pipeline work is directly relevant.,AI Research Batch 005,Yes,Unknown
Frollo,https://www.frollo.com.au,https://www.frollo.com.au/careers,Australia,Sydney,FinTech,Open Banking Platform,Scaleup,51-200,Tech Company,Hybrid,Unknown,Unknown,Australia,Data Engineer / Backend Engineer,"Python, REST APIs, AWS, SQL, Open Banking CDR",Australia,bharat-alpha,None,High,Australia's leading Open Banking (CDR) platform; bharat-alpha financial data pipeline and API experience maps directly to their core product.,AI Research Batch 005,Yes,Unknown
Wisr,https://www.wisr.com.au,https://www.wisr.com.au/careers,Australia,Sydney,FinTech,Consumer Lending,Scaleup,51-200,Tech Company,Hybrid,Unknown,Unknown,Australia,Data Engineer / Backend Engineer,"Python, AWS, dbt, SQL, data analytics",Australia,bharat-alpha,None,Medium,ASX-listed Australian neo-lender; growing data platform team; bharat-alpha financial analytics project demonstrates relevant domain skills.,AI Research Batch 005,Yes,Unknown
The Yield,https://www.theyield.com,https://www.theyield.com/careers,Australia,Sydney,AgriTech,Precision Agriculture Analytics,Scaleup,51-200,Tech Company,Hybrid,Unknown,Unknown,Australia,Data Engineer / AI Engineer,"Python, IoT, GCP, ML, time-series, data pipelines",Australia,aequitas,None,High,CSIRO Data61 spinout precision agriculture platform; CSIRO heritage gives strong 482 sponsor signal; sensor data and ML pipeline skills match candidate's profile.,AI Research Batch 005,Yes,Unknown
Goanna Ag,https://www.goanna.ag,https://www.goanna.ag/careers,Australia,Adelaide,AgriTech,Agricultural IoT & Analytics,Scaleup,11-50,Tech Company,Hybrid,Unknown,Unknown,Australia,Data Engineer / AI Engineer,"Python, IoT, AWS, time-series analytics, ML",Australia,aequitas,None,Medium,Adelaide-based precision agriculture analytics startup; IoT sensor data and analytics stack matches candidate's data engineering skills.,AI Research Batch 005,Yes,Unknown
Accenture Australia,https://www.accenture.com/au-en,https://www.accenture.com/au-en/careers,Australia,Sydney,GovTech,Management & Technology Consulting,Mid-market,10000+,Government Supplier,Hybrid,Yes,Unknown,Australia,Data Engineer / AI Engineer / Backend Engineer,"Python, Java, GCP, Azure, AWS, dbt, ML, LLM",Australia,"workforceguardai,eu-ai-assurance-os",None,High,Global consulting firm with major Australian government and enterprise contracts; established 482 visa sponsor; AI and data engineering practice rapidly growing.,AI Research Batch 005,No,Unknown
Unisys Australia,https://www.unisys.com/au,https://www.unisys.com/au/about/careers,Australia,Canberra,GovTech,IT Services & Security,Mid-market,1001-5000,Government Supplier,Hybrid,Yes,Unknown,Australia,Data Engineer / Backend Engineer,"Java, Python, AWS, Azure, SQL, security",Australia,workforceguardai,None,Medium,US-headquartered IT services firm with major Australian government and defence contracts; established 482 sponsor; Canberra presence adds city diversity.,AI Research Batch 005,No,Unknown
Hansen Technologies,https://www.hanstech.com.au,https://www.hanstech.com.au/careers,Australia,Melbourne,GovTech,Billing & Revenue Management SaaS,Mid-market,1001-5000,Government Supplier,Hybrid,Yes,Unknown,AU/NZ,Data Engineer / Backend Engineer,"Java, Python, SQL, REST APIs, AWS",AU/NZ,"workforceguardai,bharat-alpha",None,Medium,ASX-listed billing and revenue management software for utilities and telecoms; active 482 sponsor; data engineering roles relevant to candidate.,AI Research Batch 005,No,Unknown
Serco Australia,https://www.serco.com/aspac,https://careers.serco.com,Australia,Canberra,GovTech,Government Services,Mid-market,5001-10000,Government Supplier,Hybrid,Yes,Unknown,Australia,Data Engineer / AI Engineer,"Python, data analytics, Azure, SQL, ML",Australia,workforceguardai,None,Medium,Global government services company with major AU contracts; Canberra-heavy operations with data analytics demand in government services delivery.,AI Research Batch 005,No,Unknown
Empired,https://www.empired.com,https://www.empired.com/careers,Australia,Perth,GovTech,IT Services & Digital Transformation,Mid-market,501-1000,Government Supplier,Hybrid,Yes,Unknown,Australia,Data Engineer / Backend Engineer,"Python, Azure, Dynamics 365, SQL, data analytics",Australia,workforceguardai,None,High,Perth-based IT services company (now Capgemini AU) with WA government contracts; Perth HQ adds city diversity; data and Azure engineering roles relevant.,AI Research Batch 005,Yes,Unknown
Datarock,https://www.datarock.com.au,https://www.datarock.com.au/careers,Australia,Melbourne,MiningTech,Geological Data Analytics,Scaleup,11-50,Tech Company,Hybrid,Unknown,Unknown,Australia,Data Engineer / AI Engineer,"Python, ML, geospatial, geological data, GCP",Australia,aequitas,None,High,Melbourne AI startup applying ML to mining and geology data; geospatial and data analytics stack aligns with candidate's aequitas and geospatial skills.,AI Research Batch 005,Yes,Unknown
Presagen,https://www.presagen.com,https://www.presagen.com/careers,Australia,Adelaide,HealthTech / AI,AI-driven IVF Analytics,Scaleup,11-50,Tech Company,Hybrid,Unknown,Unknown,Australia,AI Engineer / Data Engineer,"Python, deep learning, ML pipelines, GCP, REST APIs",Australia,"eu-ai-assurance-os,workforceguardai",None,High,Adelaide AI company applying deep learning to embryo selection; eu-ai-assurance-os AI governance experience relevant to their regulated-AI context; Adelaide HQ.,AI Research Batch 005,Yes,Unknown
Archtis,https://www.archtis.com,https://www.archtis.com/careers,Australia,Canberra,GovTech,Data Security & Classification,Scaleup,51-200,Defence Contractor,Hybrid,Unknown,Unknown,Australia,Data Engineer / Backend Engineer,"Python, Java, Azure, data security, REST APIs",Australia,workforceguardai,None,High,Canberra-based data security company with ASD and government contracts; defence-adjacent data engineering roles; Canberra adds city diversity.,AI Research Batch 005,Yes,Unknown
Orion Health,https://www.orionhealth.com,https://www.orionhealth.com/careers,New Zealand,Auckland,HealthTech,Clinical Information Systems,Mid-market,501-1000,Government Supplier,Hybrid,Yes,Unknown,New Zealand,Data Engineer / Backend Engineer,"Java, Spring Boot, FHIR, HL7, SQL, Azure",New Zealand,workforceguardai,None,High,Leading NZ health IT company with ANZ government contracts; Spring Boot and FHIR stack is a direct match; active visa sponsor for NZ.,AI Research Batch 005,Yes,Unknown
Jade Software,https://www.jadeworld.com,https://www.jadeworld.com/careers,New Zealand,Christchurch,GovTech,Enterprise Software,Mid-market,201-500,Government Supplier,Hybrid,Yes,Unknown,New Zealand,Data Engineer / Backend Engineer,"Java, Python, SQL, REST APIs, cloud",New Zealand,workforceguardai,None,Medium,NZ-based enterprise software company with government and transport clients; Christchurch base adds city diversity; data engineering roles growing.,AI Research Batch 005,Yes,Unknown
Raygun,https://www.raygun.com,https://www.raygun.com/about/careers,New Zealand,Wellington,Data/AI Platforms,Application Performance Monitoring,Scaleup,51-200,Tech Company,Hybrid,Unknown,Unknown,New Zealand,Data Engineer / Backend Engineer,"Python, .NET, AWS, data pipelines, SQL",New Zealand,aequitas,None,Medium,Wellington-based application monitoring SaaS with global customers; data and backend engineering roles; Wellington adds city diversity.,AI Research Batch 005,Yes,Unknown
PaperCut,https://www.papercut.com,https://www.papercut.com/careers,New Zealand,Melbourne,Enterprise SaaS,Print Management SaaS,Mid-market,201-500,Tech Company,Hybrid,Unknown,Unknown,AU/NZ,Data Engineer / Backend Engineer,"Python, Java, AWS, REST APIs, data analytics",AU/NZ,workforceguardai,None,Medium,NZ-founded global print management software company; data engineering and analytics roles growing with their SaaS transformation.,AI Research Batch 005,Yes,Unknown
Timely,https://www.gettimely.com,https://www.gettimely.com/careers,New Zealand,Christchurch,Enterprise SaaS,Appointment Scheduling SaaS,Scaleup,51-200,Tech Company,Hybrid,Unknown,Unknown,New Zealand,Data Engineer / Backend Engineer,"Python, Ruby, AWS, PostgreSQL, REST APIs",New Zealand,workforceguardai,None,Medium,NZ SaaS company for salon and wellness scheduling; data analytics and backend engineering roles; Christchurch adds city diversity.,AI Research Batch 005,Yes,Unknown
Fergus,https://www.fergus.com,https://www.fergus.com/careers,New Zealand,Auckland,Enterprise SaaS,Field Service Management,Scaleup,51-200,Tech Company,Hybrid,Unknown,Unknown,New Zealand,Data Engineer / Backend Engineer,"Python, Node.js, AWS, PostgreSQL, REST APIs",New Zealand,workforceguardai,None,Medium,Auckland-based field service management SaaS with growing ANZ customer base; data and backend engineering roles relevant to candidate.,AI Research Batch 005,Yes,Unknown
Datacom NZ,https://www.datacom.com/nz/en,https://www.datacom.com/nz/en/careers,New Zealand,Auckland,GovTech,IT Services,Mid-market,5001-10000,Government Supplier,Hybrid,Yes,Unknown,New Zealand,Data Engineer / AI Engineer / Backend Engineer,"Python, Azure, AWS, SQL, DevOps",New Zealand,workforceguardai,None,High,NZ arm of trans-Tasman IT services leader with major NZ government contracts; established visa sponsor for NZ; strong demand for data and AI engineers.,AI Research Batch 005,Yes,Unknown
Intelematics,https://www.intelematics.com,https://www.intelematics.com/careers,Australia,Melbourne,Smart Cities,Connected Vehicle & Transport Analytics,Scaleup,51-200,Tech Company,Hybrid,Unknown,Unknown,Australia,Data Engineer / AI Engineer,"Python, AWS, IoT, geospatial, data pipelines, ML",Australia,aequitas,None,High,Melbourne transport analytics company providing connected-vehicle and traffic data services; aequitas transport analytics project is a direct portfolio match.,AI Research Batch 005,Yes,Unknown
Lendi Group,https://www.lendi.com.au,https://www.lendi.com.au/careers,Australia,Sydney,FinTech,Mortgage Lending Platform,Scaleup,501-1000,Tech Company,Hybrid,Unknown,Unknown,Australia,Data Engineer / Backend Engineer,"Python, AWS, dbt, SQL, data pipelines",Australia,bharat-alpha,None,High,Sydney-based digital mortgage marketplace with major growth; dbt and data engineering stack matches candidate; bharat-alpha financial data work is relevant.,AI Research Batch 005,Yes,Unknown
Valiant Finance,https://www.valiant.finance,https://www.valiant.finance/careers,Australia,Sydney,FinTech,SME Lending Marketplace,Scaleup,51-200,Tech Company,Hybrid,Unknown,Unknown,Australia,Data Engineer / Backend Engineer,"Python, AWS, REST APIs, data analytics, SQL",Australia,bharat-alpha,None,Medium,Sydney SME lending marketplace growing rapidly; data analytics and backend engineering roles align with candidate's bharat-alpha financial data experience.,AI Research Batch 005,Yes,Unknown
Xceptional,https://www.xceptional.io,https://www.xceptional.io/careers,Australia,Sydney,HealthTech / GovTech,Neurodiversity Employment Tech,Scaleup,11-50,Tech Company,Hybrid,Unknown,Unknown,Australia,Data Engineer / AI Engineer,"Python, AWS, REST APIs, data analytics, ML",Australia,workforceguardai,None,High,Sydney workforce analytics startup focused on neurodiversity employment; workforceguardai analytics is a direct portfolio match for their core mission.,AI Research Batch 005,Yes,Unknown
Agtuary,https://www.agtuary.com,https://www.agtuary.com/careers,Australia,Sydney,FinTech / AgriTech,Agricultural Finance Analytics,Scaleup,11-50,Tech Company,Hybrid,Unknown,Unknown,Australia,Data Engineer / AI Engineer,"Python, GCP, geospatial, ML, data pipelines, SQL",Australia,"aequitas,bharat-alpha",None,High,Sydney agri-finance analytics startup combining geospatial farm data with financial analytics; aequitas geospatial and bharat-alpha financial data skills map directly.,AI Research Batch 005,Yes,Unknown
Vend (Lightspeed),https://www.vendhq.com,https://www.lightspeedhq.com/careers,New Zealand,Auckland,Enterprise SaaS,Retail POS & Analytics,Mid-market,1001-5000,Tech Company,Hybrid,Yes,Unknown,New Zealand,Data Engineer / Backend Engineer,"Python, Ruby, AWS, PostgreSQL, dbt, REST APIs",New Zealand,bharat-alpha,None,Medium,NZ-founded retail SaaS platform now part of Lightspeed; active visa sponsor as Lightspeed entity; data engineering and analytics roles growing.,AI Research Batch 005,Yes,Unknown
