Company,Website,Careers_URL,Country,City,Sector,Subsector,Company_Stage,Company_Scale,Employer_Category,Remote,Visa_Sponsorship,EOR,Hiring_Geography,Target_Roles,Tech_Stack,Region_Eligibility,Portfolio_Theme_Match,Language_Requirement,Hiring_Confidence,Reason_Match,Source,Cold_Outreach_Candidate,Visa_Sponsor_Register
Corlytics,https://www.corlytics.com,https://www.corlytics.com/careers,Ireland,Dublin,RegTech,Regulatory Intelligence,Scaleup,51-200,RegTech,Hybrid,Yes,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, NLP, ML, REST APIs, PostgreSQL",EU,eu-ai-assurance-os,None,High,AI-powered regulatory intelligence platform based in Dublin; candidate's compliance analytics work maps well to their NLP-driven regulatory data pipelines.,AI Research Batch 001,Yes,Unknown
ClauseMatch,https://www.clausematch.com,https://www.clausematch.com/careers,UK,London,RegTech,Policy & Document Management,Scaleup,51-200,RegTech,Hybrid,Yes,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, NLP, document AI, REST APIs",EU,eu-ai-assurance-os,None,Medium,Regulatory policy management SaaS; candidate's LLM/RAG and compliance tooling experience relevant to their AI-assisted document processing.,AI Research Batch 001,Yes,Unknown
Quantexa,https://www.quantexa.com,https://www.quantexa.com/careers,UK,London,RegTech,Data Intelligence & Compliance,Scaleup,201-1000,RegTech,Hybrid,Yes,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, Scala, Spark, graph analytics, Databricks",EU,eu-ai-assurance-os,None,High,Entity resolution and compliance analytics platform; candidate's Databricks experience and compliance analytics background is a direct match.,AI Research Batch 001,Yes,Unknown
Neterium,https://www.neterium.io,https://www.neterium.io/careers,Belgium,Brussels,RegTech,AML & Sanctions Screening,Startup,11-50,RegTech,Hybrid,Unknown,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, Java, REST APIs, screening pipelines",EU,eu-ai-assurance-os,None,Medium,AML and sanctions screening RegTech startup in Brussels; candidate's Spring Boot and Java backend skills relevant to their API-first compliance tooling.,AI Research Batch 001,Yes,Unknown
Kompli-Global,https://kompli-global.com,https://kompli-global.com/careers,UK,Manchester,RegTech,Risk Intelligence,Startup,11-50,RegTech,Hybrid,Unknown,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, REST APIs, NLP, data ingestion",EU,eu-ai-assurance-os,None,Low,Risk intelligence and compliance data aggregation; candidate's data engineering and compliance platform skills are relevant.,AI Research Batch 001,Yes,Unknown
ThetaRay,https://www.thetaray.com,https://www.thetaray.com/careers,Netherlands,Amsterdam,RegTech,AML AI Analytics,Scaleup,51-200,RegTech,Hybrid,Yes,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, ML, data pipelines, GCP, cloud analytics",EU,eu-ai-assurance-os,None,High,AI-powered AML transaction monitoring; candidate's ML data pipeline experience and cloud (GCP) skills match their engineering stack.,AI Research Batch 001,Yes,Unknown
Luminance,https://www.luminance.com,https://www.luminance.com/careers,UK,London,LegalTech,AI Contract Analysis,Scaleup,201-1000,LegalTech,Hybrid,Yes,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, NLP, ML, LLM, REST APIs",EU,eu-ai-assurance-os,None,High,AI contract review and legal data platform; candidate's LLM/RAG expertise and backend engineering are directly applicable.,AI Research Batch 001,Yes,Unknown
Robin AI,https://www.robinai.co.uk,https://www.robinai.co.uk/careers,UK,London,LegalTech,AI Contract Management,Startup,51-200,LegalTech,Hybrid,Yes,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, LLM, RAG, FastAPI, REST APIs",EU,eu-ai-assurance-os,None,High,LLM-powered contract review and management; candidate's RAG/LLM infrastructure and FastAPI skills are a strong direct match.,AI Research Batch 001,Yes,Unknown
Syndio,https://synd.io,https://synd.io/careers,UK,London,Pay Transparency,Pay Equity Analytics,Scaleup,51-200,HRTech,Hybrid,Yes,Unknown,Global,Data Engineer / AI Engineer / Backend Engineer,"Python, data pipelines, analytics, REST APIs",EU,workforceguardai,None,High,Pay equity analytics platform; candidate's workforceguardai EU Pay Transparency analytics project is a direct portfolio match.,AI Research Batch 001,Yes,Unknown
beqom,https://www.beqom.com,https://www.beqom.com/careers,Switzerland,Nyon,Pay Transparency,Compensation Management,Scaleup,201-1000,HRTech,Hybrid,Yes,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, data pipelines, REST APIs, Azure",EU,workforceguardai,None,High,Cloud compensation and performance management platform; candidate's Azure skills and workforceguardai pay analytics background are directly relevant.,AI Research Batch 001,Yes,Unknown
Figures,https://www.figures.hr,https://www.figures.hr/careers,France,Paris,Pay Transparency,Compensation Benchmarking,Startup,11-50,HRTech,Hybrid,Unknown,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, data analytics, PostgreSQL, REST APIs",EU,workforceguardai,None,High,Compensation benchmarking and pay transparency SaaS; candidate's workforceguardai project is a direct use-case match.,AI Research Batch 001,Yes,Unknown
Leapsome,https://www.leapsome.com,https://www.leapsome.com/careers,Germany,Berlin,Pay Transparency,People Analytics,Scaleup,201-1000,HRTech,Hybrid,Yes,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, data analytics, REST APIs, PostgreSQL",EU,workforceguardai,German (Learning),High,People enablement platform with pay equity features; candidate's workforceguardai analytics work maps well to their people analytics data infrastructure.,AI Research Batch 001,Yes,Unknown
Workpath,https://www.workpath.com,https://www.workpath.com/careers,Germany,Munich,Pay Transparency,OKR & People Analytics,Startup,51-200,HRTech,Hybrid,Unknown,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, REST APIs, analytics, data pipelines",EU,workforceguardai,German (Learning),Medium,OKR and workforce analytics platform; candidate's people analytics and data pipeline work from workforceguardai is relevant.,AI Research Batch 001,Yes,Unknown
Faculty AI,https://faculty.ai,https://faculty.ai/careers,UK,London,GovTech,Public Sector AI,Scaleup,201-1000,GovTech,Hybrid,Yes,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, ML, data engineering, GCP, Databricks",EU,"eu-ai-assurance-os,aequitas",None,High,"AI platform for government and public sector; candidate's GCP, Databricks, and public equity analytics projects (aequitas) are a strong match.",AI Research Batch 001,Yes,Unknown
Public Digital,https://public.digital,https://public.digital/careers,UK,London,GovTech,Digital Government Consulting,Startup,11-50,GovTech,Hybrid,Unknown,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, cloud, data platforms, agile",EU,aequitas,None,Medium,Digital transformation consultancy for public services; candidate's aequitas transport equity RAG project demonstrates public sector analytics skills.,AI Research Batch 001,Yes,Unknown
mySociety,https://www.mysociety.org,https://www.mysociety.org/careers,UK,Remote,GovTech,Civic Technology,Startup,11-50,GovTech,Remote,Unknown,Unknown,UK,Data Engineer / AI Engineer / Backend Engineer,"Python, Django, PostgreSQL, REST APIs",EU,aequitas,None,Medium,Civic technology organization building tools for transparency and government accountability; candidate's public sector data work maps well.,AI Research Batch 001,Yes,Unknown
TrustArc,https://trustarc.com,https://trustarc.com/company/careers,UK,London,AI Governance,Privacy & Compliance SaaS,Scaleup,201-1000,AI Governance,Hybrid,Yes,Unknown,Global,Data Engineer / AI Engineer / Backend Engineer,"Python, REST APIs, compliance data, cloud",EU,eu-ai-assurance-os,None,Medium,Privacy and compliance management platform with AI governance features; candidate's EU AI Act compliance platform skills are directly relevant.,AI Research Batch 001,Yes,Unknown
AIShield (Bosch),https://www.boschaishield.com,https://www.boschaishield.com/careers,Germany,Berlin,AI Governance,AI Security & Robustness,Startup,11-50,AI Governance,Hybrid,Unknown,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, ML security, REST APIs, FastAPI",EU,eu-ai-assurance-os,German (Learning),Medium,AI security and robustness testing platform backed by Bosch; candidate's EU AI Act compliance and model governance portfolio aligns directly.,AI Research Batch 001,Yes,Unknown
Merantix Momentum,https://www.merantix-momentum.com,https://www.merantix-momentum.com/careers,Germany,Berlin,AI Governance,Applied AI Consulting,Scaleup,51-200,AI Governance,Hybrid,Yes,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, ML, LLM, GCP, data engineering",EU,eu-ai-assurance-os,German (Learning),Medium,Berlin-based applied AI studio; candidate's LLM infrastructure and compliance platform skills are applicable to their enterprise AI projects.,AI Research Batch 001,Yes,Unknown
Lexi,https://www.lexi.legal,https://www.lexi.legal/careers,Estonia,Tallinn,LegalTech,AI Legal Research,Startup,1-10,LegalTech,Remote,Unknown,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, LLM, RAG, FastAPI",EU,eu-ai-assurance-os,None,Medium,Tallinn-based AI legal research startup; candidate's RAG/LLM infrastructure skills and EU location eligibility are a strong fit for this Tier 3 city target.,AI Research Batch 001,Yes,Unknown
Veriff,https://www.veriff.com,https://www.veriff.com/careers,Estonia,Tallinn,RegTech,Identity Verification & Compliance,Scaleup,201-1000,RegTech,Hybrid,Yes,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, ML, data pipelines, GCP, REST APIs",EU,eu-ai-assurance-os,None,High,"Leading identity verification platform headquartered in Tallinn; candidate's ML data pipeline and GCP skills are a direct match, Tier 3 city target.",AI Research Batch 001,Yes,Unknown
Salv,https://salv.com,https://salv.com/careers,Estonia,Tallinn,RegTech,AML Collaboration Platform,Startup,51-200,RegTech,Hybrid,Yes,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, data pipelines, REST APIs, PostgreSQL",EU,eu-ai-assurance-os,None,High,"AML intelligence and collaboration platform based in Tallinn; candidate's data engineering skills and compliance analytics background are directly relevant, Tier 3 city target.",AI Research Batch 001,Yes,Unknown
Nortal,https://nortal.com,https://nortal.com/careers,Estonia,Tallinn,GovTech,Digital Government Transformation,Scaleup,201-1000,GovTech,Hybrid,Yes,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, Java, data platforms, cloud, REST APIs",EU,aequitas,None,Medium,"Digital government and data transformation consultancy based in Tallinn with EU-wide projects; candidate's Java, cloud, and public sector analytics skills match well.",AI Research Batch 001,Yes,Unknown
Spring Technologies,https://www.spring-gmbh.com,https://www.spring-gmbh.com/careers,Germany,Hamburg,GovTech,Smart City Analytics,Startup,51-200,GovTech,Hybrid,Unknown,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, data engineering, REST APIs, PostgreSQL",EU,aequitas,German (Learning),Low,Smart city and urban analytics platform in Hamburg; candidate's aequitas transport equity analytics project maps well to their public data engineering work.,AI Research Batch 001,Yes,Unknown
Onfido,https://onfido.com,https://onfido.com/careers,UK,London,RegTech,Identity & Compliance AI,Scaleup,201-1000,RegTech,Hybrid,Yes,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, ML, data pipelines, GCP, REST APIs",EU,eu-ai-assurance-os,None,High,"AI-powered identity verification and compliance platform; candidate's ML pipelines, GCP, and compliance engineering background are a strong match.",AI Research Batch 001,Yes,Unknown
Thought Machine,https://www.thoughtmachine.net,https://www.thoughtmachine.net/careers,UK,London,FinTech,Core Banking Platform,Scaleup,501-1000,FinTech,Hybrid,Yes,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Kafka, Kubernetes, Go, Python, event-driven architecture",EU,masova-platform,None,High,Cloud-native core banking with event-driven microservices; candidate's Spring Boot microservices and Kafka experience maps directly.,AI Research Batch 002,Yes,Unknown
Form3,https://www.form3.tech,https://www.form3.tech/careers,UK,London,FinTech,Payments Infrastructure,Scaleup,201-500,FinTech,Remote,Yes,Unknown,EU,Data Engineer / Backend Engineer,"Go, Kafka, AWS, event-driven, microservices",EU,masova-platform,None,High,Cloud-native payment processing platform built on event-driven microservices; strong match with candidate's Kafka and microservices portfolio.,AI Research Batch 002,Yes,Unknown
GoCardless,https://gocardless.com,https://gocardless.com/careers,UK,London,FinTech,Open Banking / Payments,Scaleup,501-1000,FinTech,Hybrid,Yes,Unknown,EU,Data Engineer / Backend Engineer,"Python, Kafka, PostgreSQL, dbt, data pipelines",EU,"bharat-alpha,masova-platform",None,High,Global bank debit network with data engineering team using dbt and Kafka; financial data pipeline work matches bharat-alpha and masova-platform themes.,AI Research Batch 002,Yes,Unknown
Yapily,https://www.yapily.com,https://www.yapily.com/careers,UK,London,FinTech,Open Banking API,Scaleup,51-200,FinTech,Hybrid,Yes,Unknown,EU,Backend Engineer / Data Engineer,"Java, Spring Boot, Kafka, REST APIs, open banking",EU,"bharat-alpha,masova-platform",None,High,Open banking API infrastructure built on Java/Spring Boot with financial data pipelines; direct match with candidate's Spring Boot microservices and financial data work.,AI Research Batch 002,Yes,Unknown
TrueLayer,https://truelayer.com,https://truelayer.com/careers,UK,London,FinTech,Open Banking API,Scaleup,201-500,FinTech,Hybrid,Yes,Unknown,EU,Data Engineer / Backend Engineer,"Python, Kafka, AWS, open banking APIs, data pipelines",EU,"bharat-alpha,masova-platform",None,High,Leading open banking API provider across Europe; financial data pipeline work and API infrastructure match bharat-alpha and masova-platform themes.,AI Research Batch 002,Yes,Unknown
Salt Edge,https://www.saltedge.com,https://www.saltedge.com/careers,Romania,Bucharest,FinTech,Open Banking / Financial Data,Scaleup,201-500,FinTech,Hybrid,Unknown,Unknown,EU,Data Engineer / Backend Engineer,"Ruby, Python, REST APIs, financial data aggregation",EU,bharat-alpha,None,Medium,Open banking data aggregation platform covering 5000+ banks; financial data infrastructure focus matches bharat-alpha project theme.,AI Research Batch 002,Yes,Unknown
Mambu,https://www.mambu.com,https://www.mambu.com/careers,Germany,Berlin,FinTech,Cloud Banking Platform,Scaleup,501-1000,FinTech,Hybrid,Yes,Unknown,EU,Data Engineer / Backend Engineer,"Java, Spring Boot, Kafka, AWS, microservices",EU,masova-platform,German (Learning),High,SaaS cloud banking platform using Java microservices and event-driven architecture; strong overlap with candidate's Spring Boot multi-tenant platform experience.,AI Research Batch 002,Yes,Unknown
Raisin,https://www.raisin.com,https://www.raisin.com/careers,Germany,Berlin,FinTech,Savings & Investments Platform,Scaleup,501-1000,FinTech,Hybrid,Yes,Unknown,EU,Data Engineer / AI Engineer,"Python, Spark, dbt, AWS, data pipelines",EU,"bharat-alpha,workforceguardai",German (Learning),High,Pan-European savings marketplace with significant data engineering; dbt and Spark usage matches workforceguardai and bharat-alpha portfolio themes.,AI Research Batch 002,Yes,Unknown
Billie,https://www.billie.io,https://www.billie.io/careers,Germany,Berlin,FinTech,B2B BNPL / Embedded Finance,Scaleup,201-500,FinTech,Hybrid,Yes,Unknown,EU,Data Engineer / Backend Engineer,"Python, Kafka, PostgreSQL, dbt, Spark",EU,"workforceguardai,masova-platform",German (Learning),High,B2B payments and embedded finance scaleup using Kafka and dbt; both data platform and event-driven microservices aspects match candidate's portfolio.,AI Research Batch 002,Yes,Unknown
Moss,https://www.getmoss.com,https://www.getmoss.com/careers,Germany,Berlin,FinTech,Corporate Spend Management,Scaleup,201-500,FinTech,Hybrid,Yes,Unknown,EU,Data Engineer / Backend Engineer,"Python, Kafka, dbt, PostgreSQL, microservices",EU,"workforceguardai,masova-platform",German (Learning),High,Corporate card and spend management platform with data analytics; dbt and Kafka architecture matches workforceguardai and masova-platform.,AI Research Batch 002,Yes,Unknown
Taxdoo,https://www.taxdoo.com,https://www.taxdoo.com/careers,Germany,Hamburg,FinTech,Financial Compliance / Tax Automation,Scaleup,51-200,FinTech,Hybrid,Yes,Unknown,EU,Data Engineer / Backend Engineer,"Python, dbt, Spark, GCP, financial data pipelines",EU,"bharat-alpha,workforceguardai",German (Learning),High,Financial compliance automation platform in Hamburg using dbt and GCP; candidate's dbt expertise (workforceguardai) and financial data work (bharat-alpha) directly applicable.,AI Research Batch 002,Yes,Unknown
Agicap,https://agicap.com,https://agicap.com/en/careers,France,Lyon,FinTech,Cash Flow Management,Scaleup,201-500,FinTech,Hybrid,Yes,Unknown,EU,Data Engineer / Backend Engineer,"Python, dbt, Spark, PostgreSQL, data pipelines",EU,"bharat-alpha,workforceguardai",None,High,Cash flow management SaaS based in Lyon (Tier 2 city); uses dbt and Python data pipelines matching workforceguardai and bharat-alpha themes.,AI Research Batch 002,Yes,Unknown
Tink,https://tink.com,https://tink.com/careers,Sweden,Stockholm,FinTech,Open Banking Platform,Scaleup,201-500,FinTech,Hybrid,Yes,Unknown,EU,Data Engineer / Backend Engineer,"Java, Kafka, Spark, open banking APIs, data engineering",EU,"bharat-alpha,masova-platform",None,High,Europe's leading open banking platform (Visa-owned); Java/Kafka backend and financial data aggregation directly aligns with candidate's stack.,AI Research Batch 002,Yes,Unknown
bunq,https://www.bunq.com,https://www.bunq.com/careers,Netherlands,Amsterdam,FinTech,Neobank / API Banking,Scaleup,201-500,FinTech,Hybrid,Yes,Unknown,EU,Data Engineer / Backend Engineer,"Python, Kafka, Java, microservices, real-time data",EU,masova-platform,Dutch (Learning),High,API-first neobank with real-time event-driven architecture; candidate's Kafka and Java microservices background maps well.,AI Research Batch 002,Yes,Unknown
Mollie,https://www.mollie.com,https://www.mollie.com/en/careers,Netherlands,Amsterdam,FinTech,Payments Platform,Scaleup,501-1000,FinTech,Hybrid,Yes,Unknown,EU,Data Engineer / Backend Engineer,"Python, Kafka, dbt, GCP, data engineering",EU,"workforceguardai,masova-platform",Dutch (Learning),High,European payments platform using dbt and GCP; candidate's dbt data platform (workforceguardai) and GCP experience directly relevant.,AI Research Batch 002,Yes,Unknown
Exasol,https://www.exasol.com,https://www.exasol.com/careers,Germany,Nuremberg,Data Platforms,Analytical Database,Mid-market,201-500,Data Infrastructure,Hybrid,Yes,Unknown,EU,Data Engineer / AI Engineer,"SQL, Python, Spark, columnar analytics, cloud data",EU,workforceguardai,German (Learning),Medium,German hidden champion in in-memory analytical databases; candidate's data platform skills (DuckDB/dbt pattern) translates well to analytical DB vendor context.,AI Research Batch 002,Yes,Unknown
Airbyte,https://airbyte.com,https://airbyte.com/careers,France,Nantes,Data Platforms,Data Integration / ELT,Scaleup,201-500,Developer Tools,Remote,Yes,Unknown,Global,Data Engineer / AI Engineer,"Python, dbt, Spark, Kafka, data connectors, ELT",EU,"workforceguardai,bharat-alpha",None,High,"Open-source ELT platform with EU presence; candidate's dbt, data pipeline, and Python skills map directly to Airbyte's connector and platform engineering roles.",AI Research Batch 002,Yes,Unknown
Soda Data,https://www.soda.io,https://www.soda.io/careers,Belgium,Brussels,Data Platforms,Data Quality / Observability,Scaleup,51-200,Developer Tools,Remote,Yes,Unknown,EU,Data Engineer / AI Engineer,"Python, dbt, Spark, SQL, data quality frameworks",EU,workforceguardai,None,High,Data quality and observability platform headquartered in Brussels; candidate's dbt and DuckDB data platform work (workforceguardai) is a direct portfolio match.,AI Research Batch 002,Yes,Unknown
Atlan,https://atlan.com,https://atlan.com/careers,Netherlands,Amsterdam,Data Platforms,Data Catalog / Metadata,Scaleup,201-500,Developer Tools,Remote,Yes,Unknown,Global,Data Engineer / AI Engineer,"Python, dbt, Spark, REST APIs, metadata management",EU,"workforceguardai,bharat-alpha",Dutch (Learning),High,Active metadata platform with EU hub in Amsterdam; candidate's data platform and dbt expertise (workforceguardai) and data catalog needs of bharat-alpha are strong matches.,AI Research Batch 002,Yes,Unknown
Sentry,https://sentry.io,https://sentry.io/careers,Germany,Berlin,Developer Infrastructure,Error Monitoring / APM,Scaleup,501-1000,Developer Tools,Remote,Yes,Unknown,Global,Data Engineer / Backend Engineer,"Python, Kafka, ClickHouse, Rust, data pipelines",EU,masova-platform,German (Learning),High,Error monitoring platform with Berlin presence using Kafka and ClickHouse; candidate's Kafka and backend microservices skills apply to their data ingestion pipelines.,AI Research Batch 002,Yes,Unknown
Lightrun,https://lightrun.com,https://lightrun.com/careers,UK,London,Developer Infrastructure,Live Debugging / Observability,Scaleup,51-200,Developer Tools,Hybrid,Yes,Unknown,EU,Backend Engineer / AI Engineer,"Java, Python, Kubernetes, distributed systems, Spring Boot",EU,masova-platform,None,High,Live debugging and observability platform using Java/Spring Boot; direct match with candidate's Java and Spring Boot expertise from masova-platform.,AI Research Batch 002,Yes,Unknown
Starburst Data,https://www.starburst.io,https://www.starburst.io/careers,Netherlands,Amsterdam,Data Platforms,Data Lakehouse / Query Engine,Scaleup,201-500,Data Infrastructure,Remote,Yes,Unknown,Global,Data Engineer / AI Engineer,"Trino, Spark, dbt, data lakehouse, Python, Java",EU,"workforceguardai,bharat-alpha",Dutch (Learning),High,"Enterprise data lakehouse query engine with EU office; dbt, Spark, and lakehouse architecture match candidate's workforceguardai and bharat-alpha projects.",AI Research Batch 002,Yes,Unknown
Dagster Labs,https://dagster.io,https://dagster.io/careers,UK,London,Data Platforms,Data Orchestration,Scaleup,51-200,Developer Tools,Remote,Yes,Unknown,Global,Data Engineer / AI Engineer,"Python, dbt, Spark, data orchestration, Kubernetes",EU,workforceguardai,None,High,Modern data orchestration platform with UK office; candidate's dbt-based data platform (workforceguardai) and Python skills are a direct fit for platform engineering roles.,AI Research Batch 002,Yes,Unknown
Monte Carlo Data,https://www.montecarlodata.com,https://www.montecarlodata.com/careers,UK,London,Data Platforms,Data Observability,Scaleup,201-500,Developer Tools,Remote,Yes,Unknown,Global,Data Engineer / AI Engineer,"Python, dbt, Spark, data observability, ML",EU,workforceguardai,None,High,Data observability platform with UK presence; candidate's data quality and dbt platform work (workforceguardai) maps perfectly to data observability tooling.,AI Research Batch 002,Yes,Unknown
Secoda,https://www.secoda.co,https://www.secoda.co/careers,UK,London,Data Platforms,Data Catalog / Discovery,Scaleup,51-200,Developer Tools,Remote,Yes,Unknown,Global,Data Engineer / AI Engineer,"Python, dbt, REST APIs, LLM, metadata management",EU,"workforceguardai,bharat-alpha",None,High,AI-powered data catalog with UK presence; candidate's dbt expertise and RAG/LLM work (bharat-alpha) directly applies to their AI-native data discovery product.,AI Research Batch 002,Yes,Unknown
Select Star,https://www.selectstar.com,https://www.selectstar.com/careers,UK,London,Data Platforms,Automated Data Catalog,Scaleup,11-50,Developer Tools,Remote,Yes,Unknown,Global,Data Engineer / AI Engineer,"Python, dbt, SQL, data lineage, REST APIs",EU,workforceguardai,None,Medium,Automated data catalog and lineage tool with UK office; candidate's dbt and data platform work (workforceguardai) is a strong portfolio signal.,AI Research Batch 002,Yes,Unknown
Nordigen,https://nordigen.com,https://nordigen.com/en/careers,Latvia,Riga,FinTech,Open Banking / Financial Data API,Scaleup,51-200,FinTech,Hybrid,Unknown,Unknown,EU,Data Engineer / Backend Engineer,"Python, REST APIs, open banking, financial data",EU,bharat-alpha,None,Medium,Open banking data API provider headquartered in Riga (Tier 2 / Baltic hub); financial data aggregation focus matches bharat-alpha theme.,AI Research Batch 002,Yes,Unknown
Penta,https://getpenta.com,https://getpenta.com/en/careers,Germany,Berlin,FinTech,SME Banking / Business Accounts,Scaleup,201-500,FinTech,Hybrid,Yes,Unknown,EU,Data Engineer / Backend Engineer,"Python, Kafka, PostgreSQL, dbt, microservices",EU,"workforceguardai,masova-platform",German (Learning),High,SME-focused neobank in Berlin using dbt and Kafka; candidate's dbt data platform and Kafka microservices experience applies directly.,AI Research Batch 002,Yes,Unknown
